"State","Total.SAT.Mean.Score","Grade.13.Offered","Ungraded.Classes.Offered","Operational.Schools","Total.Revenues","State.Revenues","Federal.Revenues","Total.Current.Expenditures..TE5.","Total.Revenues.per.Pupil","State.Revenues.per.Pupil","Federal.Revenues.per.Pupil","Total.Current.Expenditures.per.Pupil","X4th.Grade.Mean.Math.Score","X4th.Grade.Mean.Reading.Score","X8th.Grade.Mean.Math.Score","X8th.Grade.Mean.Reading.Score","Classroom.Teachers..FTE.","Meeting.All.State.Licensing.Certification.Requirements..Percent.","Classroom.Teachers.in.their.First.Year.of.Teaching..Percent.","Classroom.Teachers.in.their.Second.Year.of.Teaching..Percent.","Number.of.Schools","Total.Number.Operational.School.Districts.2022.23","Total.Number.Operational.Schools","Total.Number.Operational.Charter.Schools","American.Indian.Alaska.Native.Students","Asian.or.Asian.Pacific.Islander.Students","Hispanic.Students","Black.or.African.American.Students","White.Students","Nat..Hawaiian.or.Other.Pacific.Isl..Students","Two.or.More.Races.Students","Full.Time.Equivalent..FTE..Teachers","Pupil.Teacher.Ratio","Party.Voted.for.Last.Election.Cycle"
"South Carolina",1028,"No","No",1264,11177350839,5476152028,920498316,8788125120,14205,6959,1170,11168,"236.75",215.98,276.35,258.98,48811.24,97,5.8,5.9,5.9,96,1264,88,2201,13774,100329,249346,377133,963,45421,55946.58,14.11,"Republican"
"South Dakota",1208,"No","No",720,1747682661,589617538,246063512,1454402569,12488,4213,1758,10392,"241.3",222,287.09,262.77,9849.43,99.7,6.4,5.7,5.7,166,720,NA,14827,2274,11294,4626,100524,190,8153,10261.46,13.83,"Republican"
"Tennessee",1191,"No","No",1900,11113864008,5283765227,1125624138,10121191884,10952,5207,1109,9974,"239.7",219.06,280.08,262.46,66350.85,99.5,5.4,4.6,4.6,148,1900,114,1650,20229,139706,207860,591111,1083,45113,65780.77,15.3,"Republican"
"Texas",978,"No","Yes",9180,70617931164,27103224447,7261669675,57118702977,12850,4932,1321,10394,"243.62",216.04,279.65,255.74,329719.59,98.5,7.9,6.5,6.5,1236,9180,1039,17980,280772,2921858,707086,1416600,8719,166584,373332.35,14.78,"Republican"
"Utah",1239,"No","No",1102,6839132796,3804949928,474513704,5673814820,9989,5557,693,8287,"243.79",225.15,284.93,267.42,26953.03,98.1,7.7,8,8,162,1102,140,6636,11751,135877,9213,493295,11419,23632,31163.98,22.2,"Republican"
"Vermont",1099,"No","No",305,1896965598,1707184283,130381332,1919476880,21865,19677,1503,22124,"238.9",221.83,286.6,268.48,8139.55,99.1,4.7,4.1,4.1,186,305,NA,212,1716,2603,2139,73734,86,3164,7933.86,10.54,"Democrat"
"Virginia",1113,"No","No",2132,18145001628,7349817835,1123159392,16785046943,13990,5667,866,12941,"246.89",223.64,287.06,261.8,91410.82,96.5,5.4,5,5,213,2132,7,3279,94831,236141,272673,567343,1980,84104,92651,13.6,"Democrat"
"Washington",1081,"No","No",2549,20157771006,14240398896,1175921453,16608508285,17650,12469,1030,14542,"239.51",219.69,285.81,266.28,54870.78,99.8,3,3.8,3.8,340,2549,16,12156,94906,279405,52182,535720,15326,96280,63271.68,17.23,"Democrat"
"West Virginia",923,"No","No",684,3783283360,2089509605,436617581,3332336838,14359,7930,1657,12647,"231.5",213.18,272.35,255.62,18774.23,96.6,5.4,5.1,5.1,64,684,4,193,1652,5517,10281,222613,125,10843,18669.66,13.46,"Republican"
"Wisconsin",1236,"No","No",2235,13082030791,6483832835,856306820,10943581983,15293,7580,1001,12794,"241.67",219.7,288.66,267.38,58701.17,98.9,6.8,8.3,8.3,468,2235,239,8477,34707,111822,71909,552802,639,42330,60011.17,13.71,"Democrat"
"Wyoming",1200,"No","No",361,1830236331,962603980,138751183,1576787463,19344,10174,1466,16665,"245.84",226.69,286.31,264.64,7743.03,99.9,7.2,6,6,59,361,5,2888,602,13584,769,71006,139,3479,7312.03,12.65,"Republican"
